series,subplot,scale,Disturbance.Frequency,Disturbance.Severity
NFD21_16,SE,10,0.8498128301886793,0.5247690566037736
NFD21_16,x,100,0.8749269696969697,0.5235736363636364
NFD21_17,NW,1e-4,1.323735,0.537695
NFD21_17,NW,0.001,1.050165,0.55646
NFD21_17,NW,0.01,1.0705457142857142,0.5312528571428572
NFD21_17,NW,0.1,0.916997,0.528664
NFD21_17,NW,1,0.9682739393939394,0.5259942424242424
NFD21_17,NW,10,0.94241,0.5254
NFD21_17,SE,1e-4,1.0678833333333333,0.5211033333333334
NFD21_17,SE,0.001,1.081348,0.5123179999999999
NFD21_17,SE,0.01,1.18715875,0.5079275
NFD21_17,SE,0.1,1.076424,0.5135149999999999
NFD21_17,SE,1,1.0132175,0.5218175
NFD21_17,SE,10,1.0026606896551724,0.5290113793103448
NFD21_17,x,100,0.950194705882353,0.5202843137254902
NFD21_18,NW,1e-4,0.9253075,0.5241725
NFD21_18,NW,0.001,1.137745,0.5223816666666666
NFD21_18,NW,0.01,1.1243681818181819,0.5223545454545454
NFD21_18,NW,0.1,1.0589690476190476,0.5239928571428571
NFD21_18,NW,1,1.0763770588235295,0.5260085294117647
NFD21_18,NW,10,1.0023627777777777,0.5299703703703703
NFD21_18,SE,1e-4,1.22737,0.49836
NFD21_18,SE,0.001,0.9286414285714286,0.5307528571428571
NFD21_18,SE,0.01,0.9839875,0.492055
NFD21_18,SE,0.1,0.8965575,0.5165396875
NFD21_18,SE,1,0.9542415909090909,0.5059779545454546
NFD21_18,SE,10,0.9391616981132075,0.5116018867924528
NFD21_18,x,100,0.9842574324324325,0.5176994594594595
NFD21_20,NE,1e-4,0.6393233333333334,0.47675999999999996
NFD21_20,NE,0.001,0.8607114285714286,0.38802857142857144
NFD21_20,NE,0.01,0.8078722222222222,0.4108511111111111
NFD21_20,NE,0.1,0.896498,0.396379
NFD21_20,NE,1,0.8668307142857142,0.42489714285714286
NFD21_20,NE,10,0.753535238095238,0.4395590476190476
NFD21_20,SW,1e-4,1.31025,0.26601
NFD21_20,SW,0.001,0.7046399999999999,0.426165
NFD21_20,SW,0.01,1.191975,0.3413875
NFD21_20,SW,0.1,0.9582444444444445,0.38645
NFD21_20,SW,1,0.8427790909090909,0.4226518181818182
NFD21_20,SW,10,0.7777033333333333,0.4206433333333333
NFD21_20,x,100,0.7152865517241379,0.4410865517241379
NFD21_21,NE,1e-4,0.17352,0.57551
NFD21_21,NE,0.001,0.17352,0.57551
NFD21_21,NE,0.01,0.5435625000000001,0.44106999999999996
NFD21_21,NE,0.1,0.465258,0.47534
NFD21_21,NE,1,0.47689000000000004,0.4616166666666667
NFD21_21,NE,10,0.57851125,0.4576925
NFD21_21,SW,1e-4,1.2029,0.293
NFD21_21,SW,0.001,0.67747,0.45270999999999995
NFD21_21,SW,0.01,0.67747,0.45270999999999995
NFD21_21,SW,0.1,0.52447,0.4877233333333333
NFD21_21,SW,1,0.7073240000000001,0.411394
NFD21_21,SW,10,0.68193125,0.42964625
NFD21_21,x,100,0.6678258823529412,0.4400541176470588
NFD21_23,NE,1e-4,0.49433,0.5587
NFD21_23,NE,0.001,0.69221,0.44539
NFD21_23,NE,0.01,0.5571675,0.48714749999999996
NFD21_23,NE,0.1,0.5307371428571429,0.5074842857142857
NFD21_23,NE,1,0.4800975,0.52752875
NFD21_23,NE,10,0.5148305555555556,0.5288377777777777
NFD21_23,NW,1e-4,0.11716000000000001,0.6322399999999999
NFD21_23,NW,0.001,0.44435,0.5268725
NFD21_23,NW,0.01,0.44435,0.5268725
NFD21_23,NW,0.1,0.407018,0.51994
NFD21_23,NW,1,0.34065333333333336,0.5663244444444444
NFD21_23,NW,10,0.522461875,0.5350318749999999
NFD21_23,x,100,0.5757488461538461,0.5203461538461538
NFD21_24,NW,1e-4,0.67747,0.45270999999999995
NFD21_24,NW,0.001,0.67747,0.45270999999999995
NFD21_24,NW,0.01,0.52447,0.4877233333333333
NFD21_24,NW,0.1,0.7580533333333334,0.42457
NFD21_24,NW,1,0.8077054545454545,0.3994245454545455
NFD21_24,NW,10,0.7548878571428571,0.4199435714285714
NFD21_24,SE,1e-4,0.868975,0.34299999999999997
NFD21_24,SE,0.001,0.65214,0.4145833333333333
NFD21_24,SE,0.01,0.535245,0.4462475
NFD21_24,SE,0.1,0.60532,0.4451583333333333
NFD21_24,SE,1,0.719199090909091,0.43144636363636363
NFD21_24,SE,10,0.7289570588235295,0.4332805882352941
NFD21_24,x,100,0.7504177777777777,0.43176444444444445
NFD21_26,NW,1e-4,1.127485,0.31633999999999995
NFD21_26,NW,0.001,1.21042,0.31422666666666665
NFD21_26,NW,0.01,1.218515,0.308075
NFD21_26,NW,0.1,0.9200716666666666,0.40057
NFD21_26,NW,1,0.8254457142857142,0.41366142857142857
NFD21_26,NW,10,0.6791166666666666,0.4541355555555555
NFD21_26,SE,0.01,1.1017,0.34396
NFD21_26,SE,0.1,0.6488925,0.45808
NFD21_26,SE,1,0.544828,0.485118
NFD21_26,SE,10,0.66049625,0.46152374999999995
NFD21_26,x,100,0.5982461538461539,0.46952153846153843
NFD21_27,NW,1e-4,1.15327,0.28872
NFD21_27,NW,0.001,1.15327,0.28872
NFD21_27,NW,0.01,1.198035,0.28917
NFD21_27,NW,0.1,0.84937,0.39692
NFD21_27,NW,1,0.8715533333333333,0.3951633333333333
NFD21_27,NW,10,0.8269025,0.40801125
NFD21_27,SE,1e-4,1.2029,0.293
NFD21_27,SE,0.001,1.15208,0.29877
NFD21_27,SE,0.01,0.834706,0.3886
NFD21_27,SE,0.1,0.8878,0.3719533333333333
NFD21_27,SE,1,0.8573445454545454,0.3954381818181818
NFD21_27,SE,10,0.8030125,0.41234499999999996
NFD21_27,x,100,0.8351361538461538,0.41101153846153843
NFD21_28,NW,1e-4,0.90947,0.42198
NFD21_28,NW,0.001,0.9357066666666667,0.4444033333333333
NFD21_28,NW,0.01,0.9770949999999999,0.4094375
NFD21_28,NW,0.1,0.90365142857142855,0.41758
NFD21_28,NW,1,0.886635,0.42197799999999996
NFD21_28,NW,10,0.8287871428571428,0.4321092857142857
NFD21_28,SE,1e-4,0.98818,0.48925
NFD21_28,SE,0.001,1.0447199999999999,0.396895
NFD21_28,SE,0.01,0.7823766666666666,0.42866666666666664
NFD21_28,SE,0.1,0.978472,0.393254
NFD21_28,SE,1,0.95018875,0.39779125
NFD21_28,SE,10,0.887315,0.421724
NFD21_28,x,100,0.826154705882353,0.4252111764705882
NFD21_30,NW,1e-4,1.2029,0.293
NFD21_30,NW,0.001,0.8880566666666667,0.3801233333333333
NFD21_30,NW,0.01,0.8880566666666667,0.3801233333333333
NFD21_30,NW,0.1,0.6729499999999999,0.4259942857142857
NFD21_30,NW,1,0.733294,0.412186
NFD21_30,NW,10,0.7359986666666667,0.428246
NFD21_30,SE,1e-4,0.49433,0.5587
NFD21_30,SE,0.001,0.916615,0.41612
NFD21_30,SE,0.01,0.64003,0.469916
NFD21_30,SE,0.1,0.77179,0.44001444444444443
NFD21_30,SE,1,0.7834269230769231,0.4175353846153846
NFD21_30,SE,10,0.8058066666666667,0.4225972222222222
NFD21_30,x,100,0.7622936363636363,0.42799863636363633
NFD21_31,NW,1e-4,0.6772849999999999,0.473245
NFD21_31,NW,0.001,0.78366,0.43122
NFD21_31,NW,0.01,0.78366,0.43122
NFD21_31,NW,0.1,0.7926183333333333,0.4670183333333333
NFD21_31,NW,1,0.877814,0.41525599999999996
NFD21_31,NW,10,0.7327425,0.45590416666666667
NFD21_31,SE,1e-4,1.11312,0.3134
NFD21_31,SE,0.001,0.9796266666666668,0.35322333333333333
NFD21_31,SE,0.01,0.8302933333333333,0.4174716666666667
NFD21_31,SE,0.1,0.8891683333333333,0.4287741666666667
NFD21_31,SE,1,0.78958125,0.44997624999999997
NFD21_31,SE,10,0.6693033333333334,0.48007222222222223
NFD21_31,x,100,0.6736415,0.4805205
NFD21_33,NW,1e-4,1.40888,0.267905
NFD21_33,NW,0.001,1.4258633333333333,0.24991333333333332
NFD21_33,NW,0.01,1.39696,0.2539375
NFD21_33,NW,0.1,1.0458025,0.34909375
NFD21_33,NW,1,0.9984885714285714,0.36737
NFD21_33,NW,10,1.0115852631578948,0.3719710526315789
NFD21_33,SE,1e-4,1.30655,0.251325
NFD21_33,SE,0.001,1.30655,0.251325
NFD21_33,SE,0.01,1.20317,0.2832733333333333
NFD21_33,SE,0.1,1.204292,0.291958
NFD21_33,SE,1,0.8320254545454545,0.4082290909090909
NFD21_33,SE,10,0.90090375,0.392945
NFD21_33,x,100,0.9110808695652174,0.3962826086956522
NFD21_34,NW,1e-4,0.6613875,0.5231574999999999
NFD21_34,NW,0.001,0.6613875,0.5231574999999999
NFD21_34,NW,0.01,0.728392,0.48795999999999995
NFD21_34,NW,0.1,0.50617875,0.5309575
NFD21_34,NW,1,0.48656866666666665,0.5306266666666667
NFD21_34,NW,10,0.5740790909090909,0.5137284848484849
NFD21_34,SE,1e-4,0.3736,0.580615
NFD21_34,SE,0.001,0.3736,0.580615
NFD21_34,SE,0.01,0.5040975,0.5220275
NFD21_34,SE,0.1,0.5471671428571429,0.5124128571428571
NFD21_34,SE,1,0.6815066666666667,0.488574
NFD21_34,SE,10,0.7039389655172413,0.49186862068965514
NFD21_34,x,100,0.6869628846153846,0.49714653846153845
NFD21_35,NW,1e-4,1.5905633333333333,0.48304
NFD21_35,NW,0.001,1.386842,0.509704
NFD21_35,NW,0.01,1.3768385714285714,0.5337685714285714
NFD21_35,NW,0.1,1.285434,0.555751
NFD21_35,NW,1,1.261970909090909,0.5540390909090909
NFD21_35,NW,10,1.2535129411764705,0.5382847058823529
NFD21_35,SE,1e-4,1.51976,0.50527
NFD21_35,SE,0.001,1.3853133333333334,0.5131933333333333
NFD21_35,SE,0.01,1.15861,0.519372
NFD21_35,SE,0.1,1.201605,0.5019466666666667
NFD21_35,SE,1,1.2375825,0.4932391666666667
NFD21_35,SE,10,1.2719747368421053,0.49821105263157894
NFD21_35,x,100,1.31499,0.5198403703703703
NFD21_36,NE,1e-4,1.51976,0.50527
NFD21_36,NE,0.001,1.2270699999999999,0.52057
NFD21_36,NE,0.01,1.2209114285714286,0.5230785714285714
NFD21_36,NE,0.1,1.154932,0.498482
NFD21_36,NE,1,1.1747283333333334,0.48331722222222223
NFD21_36,NE,10,1.1849453846153846,0.49245307692307694
NFD21_36,SW,1e-4,1.5450366666666666,0.4936466666666667
NFD21_36,SW,0.001,1.5450366666666666,0.4936466666666667
NFD21_36,SW,0.01,1.42886375,0.49051875
NFD21_36,SW,0.1,1.42886375,0.49051875
NFD21_36,SW,1,1.3257792857142856,0.4644957142857143
NFD21_36,SW,10,1.1788584,0.5055504
NFD21_36,x,100,1.1031402272727273,0.5035493181818181
NFD21_37,NW,1e-4,1.09212,0.44083
NFD21_37,NW,0.001,1.09212,0.44083
NFD21_37,NW,0.01,1.1660300000000001,0.4582125
NFD21_37,NW,0.1,1.143458,0.462002
NFD21_37,NW,1,1.0914353846153846,0.5188815384615385
NFD21_37,NW,10,0.9765815,0.5318375
NFD21_37,SE,1e-4,0.86379,0.52099
NFD21_37,SE,0.001,1.04586,0.4643866666666666
NFD21_37,SE,0.01,1.0253,0.4699525
NFD21_37,SE,0.1,1.1334922222222221,0.5195333333333333
NFD21_37,SE,1,1.1849628571428572,0.5116
NFD21_37,SE,10,1.147361875,0.515654375
NFD21_37,x,100,1.0089025925925925,0.5302222222222223
NFD21_38,NW,1e-4,1.16035,0.41438
NFD21_38,NW,0.001,1.16035,0.41438
NFD21_38,NW,0.01,1.16035,0.41438
NFD21_38,NW,0.1,1.1608075,0.446915
NFD21_38,NW,1,1.06356,0.4678483333333333
NFD21_38,NW,10,1.0966885714285715,0.5029
NFD21_38,SE,1e-4,1.16035,0.41438
NFD21_38,SE,0.001,1.16035,0.41438
NFD21_38,SE,0.01,1.16035,0.41438
NFD21_38,SE,0.1,1.187738,0.500174
NFD21_38,SE,1,1.187738,0.500174
NFD21_38,SE,10,1.119349,0.501267
NFD21_38,x,100,1.139765,0.512464375
NFD21_39,NW,1e-4,0.869065,0.5097149999999999
